web_scraper_order,web_scraper_start_url,Containers_link,number of rooms,number of bathrooms,Surface,Address
"1765214926-1","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-mermoz-sacre-coeur-2837969","6","4","545","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765214929-2","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-ouakam-2856539","6","5","400 m2","Ouakam, Dakar, Sénégal"
"1765214934-3","https://sn.coinafrique.com/categorie/villas?page=99","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-fann-2869456","6","5","500","Fann, Dakar, Sénégal"
"1765214937-4","https://sn.coinafrique.com/categorie/villas?page=99","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mermoz-sacre-cur-2870119","7","8","500","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765214939-5","https://sn.coinafrique.com/categorie/villas?page=99","https://sn.coinafrique.com/annonce/villas/vente-maison-4-pieces-2871436","3","2","150 m2","Dakar, Sénégal"
"1765214942-6","https://sn.coinafrique.com/categorie/villas?page=99","https://sn.coinafrique.com/annonce/villas/location-villa-06-pieces-ouakam-2874888","6","5","800","Ouakam, Dakar, Sénégal"
"1765214947-7","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/location-villas-6-pieces-mamelles-2892346","6","4","432","Mamelles, Dakar, Sénégal"
"1765214953-8","https://sn.coinafrique.com/categorie/villas?page=97","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-sicap-liberte-2916327","5","4","254","Sicap Liberté, Dakar, Sénégal"
"1765214956-9","https://sn.coinafrique.com/categorie/villas?page=97","https://sn.coinafrique.com/annonce/villas/location-villa-09-pieces-dakar-2926031","9","10","2500","Dakar, Sénégal"
"1765214958-10","https://sn.coinafrique.com/categorie/villas?page=97","https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-1000-m-almadies-2927751","8","6","2752","Almadies, Dakar, Sénégal"
"1765214964-11","https://sn.coinafrique.com/categorie/villas?page=96","https://sn.coinafrique.com/annonce/villas/location-villa-9-pieces-mermoz-sacre-cur-2950709","9","10","800","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765214970-12","https://sn.coinafrique.com/categorie/villas?page=95","https://sn.coinafrique.com/annonce/villas/vente-villa-04-pieces-dieuppeul-derkle-2955662","4","3","296","Dieuppeul-Derklé, Dakar, Sénégal"
"1765214972-13","https://sn.coinafrique.com/categorie/villas?page=95","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-yoff-2970644","4","4","154","Yoff, Dakar, Sénégal"
"1765214975-14","https://sn.coinafrique.com/categorie/villas?page=95","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-2976709","7","5","250","Mamelles, Dakar, Sénégal"
"1765214981-15","https://sn.coinafrique.com/categorie/villas?page=94","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-2976718","7","250","","Mamelles, Dakar, Sénégal"
"1765214987-16","https://sn.coinafrique.com/categorie/villas?page=93","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-mermoz-sacre-cur-3001329","10","4","301","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765214989-17","https://sn.coinafrique.com/categorie/villas?page=93","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-tivaouane-peulh-cite-socabeg-3007510","4","2","150 m2","Keur Massar, Sénégal"
"1765214992-18","https://sn.coinafrique.com/categorie/villas?page=93","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-yoff-3020274","5","4","165","Yoff, Dakar, Sénégal"
"1765214998-19","https://sn.coinafrique.com/categorie/villas?page=92","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-hlm-3043900","4","2","75","HLM, Dakar, Sénégal"
